metric,row_type,student_group,value,table_id,period,row_type2,row_label_raw,value_num
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,All Students,35%,1,Baseline,percent,Baseline,35
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,Econ Dis,42%,1,Baseline,percent,Baseline,42
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,ML,36%,1,Baseline,percent,Baseline,36
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,SWD,35%,1,Baseline,percent,Baseline,35
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,504 Plan,32%,1,Baseline,percent,Baseline,32
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,Asian,31%,1,Baseline,percent,Baseline,31
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,Black,45%,1,Baseline,percent,Baseline,45
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,Hispanic,39%,1,Baseline,percent,Baseline,39
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,Multiracial,31%,1,Baseline,percent,Baseline,31
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Baseline,White,33%,1,Baseline,percent,Baseline,33
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,All Students,"4,907",1,Baseline,numerator,Numerator,4907
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Econ Dis,"1,652",1,Baseline,numerator,Numerator,1652
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,ML,621,1,Baseline,numerator,Numerator,621
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,SWD,639,1,Baseline,numerator,Numerator,639
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,504 Plan,336,1,Baseline,numerator,Numerator,336
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Asian,960,1,Baseline,numerator,Numerator,960
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Black,655,1,Baseline,numerator,Numerator,655
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Hispanic,"1,246",1,Baseline,numerator,Numerator,1246
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Multiracial,232,1,Baseline,numerator,Numerator,232
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,White,"1,798",1,Baseline,numerator,Numerator,1798
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,All Students,"13,909",1,Baseline,denominator,Denominator,13909
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,Econ Dis,"3,921",1,Baseline,denominator,Denominator,3921
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,ML,"1,748",1,Baseline,denominator,Denominator,1748
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,SWD,"1,823",1,Baseline,denominator,Denominator,1823
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,504 Plan,"1,035",1,Baseline,denominator,Denominator,1035
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,Asian,"3,048",1,Baseline,denominator,Denominator,3048
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,Black,"1,456",1,Baseline,denominator,Denominator,1456
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,Hispanic,"3,196",1,Baseline,denominator,Denominator,3196
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,Multiracial,755,1,Baseline,denominator,Denominator,755
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,White,"5,411",1,Baseline,denominator,Denominator,5411
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,All Students,36%,1,SY 2023-24,percent,SY 2023-24,36
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,Econ Dis,41%,1,SY 2023-24,percent,SY 2023-24,41
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,ML,33%,1,SY 2023-24,percent,SY 2023-24,33
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,SWD,33%,1,SY 2023-24,percent,SY 2023-24,33
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,504 Plan,33%,1,SY 2023-24,percent,SY 2023-24,33
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,Asian,35%,1,SY 2023-24,percent,SY 2023-24,35
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,Black,41%,1,SY 2023-24,percent,SY 2023-24,41
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,Hispanic,39%,1,SY 2023-24,percent,SY 2023-24,39
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,Multiracial,33%,1,SY 2023-24,percent,SY 2023-24,33
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,SY 2023-24,White,33%,1,SY 2023-24,percent,SY 2023-24,33
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,All Students,"5,054",1,SY 2023-24,numerator,Numerator,5054
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Econ Dis,"1,956",1,SY 2023-24,numerator,Numerator,1956
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,ML,574,1,SY 2023-24,numerator,Numerator,574
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,SWD,594,1,SY 2023-24,numerator,Numerator,594
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,504 Plan,409,1,SY 2023-24,numerator,Numerator,409
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Asian,"1,049",1,SY 2023-24,numerator,Numerator,1049
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Black,609,1,SY 2023-24,numerator,Numerator,609
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Hispanic,"1,364",1,SY 2023-24,numerator,Numerator,1364
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,Multiracial,264,1,SY 2023-24,numerator,Numerator,264
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Numerator,White,"1,746",1,SY 2023-24,numerator,Numerator,1746
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,All Students,"14,071",1,SY 2023-24,denominator,Denominator,14071
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,Econ Dis,"4,819",1,SY 2023-24,denominator,Denominator,4819
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,ML,"1,731",1,SY 2023-24,denominator,Denominator,1731
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,SWD,"1,802",1,SY 2023-24,denominator,Denominator,1802
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,504 Plan,"1,222",1,SY 2023-24,denominator,Denominator,1222
Percent of Students in the Senior Cohort who Earned CTE Completer Status Before Graduating,Denominator,Asian,"3,005",1,SY 2023-24,denominator,Denominator,3005
