metric,row_type,student_group,value,table_id,period,row_type2,row_label_raw,value_num
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,All Students,74%,1,Baseline,percent,Baseline,74
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,All ML Students (ELP 9),61%,1,Baseline,percent,Baseline,61
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,Econ Dis,53%,1,Baseline,percent,Baseline,53
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,SWD,90%,1,Baseline,percent,Baseline,90
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,504 Plan,84%,1,Baseline,percent,Baseline,84
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,Asian,74%,1,Baseline,percent,Baseline,74
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,Black,76%,1,Baseline,percent,Baseline,76
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,Hispanic,55%,1,Baseline,percent,Baseline,55
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,Multiracial,84%,1,Baseline,percent,Baseline,84
Percent of Students who Enter Kindergarten with Pre-K Experiences,Baseline,White,87%,1,Baseline,percent,Baseline,87
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,All Students,"9,219",1,Baseline,numerator,Numerator,9219
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,All ML Students (ELP 9),"2,587",1,Baseline,numerator,Numerator,2587
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Econ Dis,"1,723",1,Baseline,numerator,Numerator,1723
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,SWD,"1,576",1,Baseline,numerator,Numerator,1576
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,504 Plan,64,1,Baseline,numerator,Numerator,64
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Asian,"1,628",1,Baseline,numerator,Numerator,1628
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Black,850,1,Baseline,numerator,Numerator,850
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Hispanic,"2,020",1,Baseline,numerator,Numerator,2020
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Multiracial,692,1,Baseline,numerator,Numerator,692
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,White,"3,998",1,Baseline,numerator,Numerator,3998
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,All Students,"12,433",1,Baseline,denominator,Denominator,12433
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,All ML Students (ELP 9),"4,271",1,Baseline,denominator,Denominator,4271
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Econ Dis,"3,278",1,Baseline,denominator,Denominator,3278
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,SWD,"1,760",1,Baseline,denominator,Denominator,1760
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,504 Plan,76,1,Baseline,denominator,Denominator,76
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Asian,"2,186",1,Baseline,denominator,Denominator,2186
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Black,"1,122",1,Baseline,denominator,Denominator,1122
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Hispanic,"3,673",1,Baseline,denominator,Denominator,3673
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Multiracial,820,1,Baseline,denominator,Denominator,820
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,White,"4,586",1,Baseline,denominator,Denominator,4586
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,All Students,78%,1,SY 2023-24,percent,SY 2023-24,78
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,All ML Students (ELP 9),63%,1,SY 2023-24,percent,SY 2023-24,63
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,Econ Dis,57%,1,SY 2023-24,percent,SY 2023-24,57
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,SWD,91%,1,SY 2023-24,percent,SY 2023-24,91
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,504 Plan,87%,1,SY 2023-24,percent,SY 2023-24,87
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,Asian,79%,1,SY 2023-24,percent,SY 2023-24,79
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,Black,81%,1,SY 2023-24,percent,SY 2023-24,81
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,Hispanic,60%,1,SY 2023-24,percent,SY 2023-24,60
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,Multiracial,88%,1,SY 2023-24,percent,SY 2023-24,88
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2023-24,White,91%,1,SY 2023-24,percent,SY 2023-24,91
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,All Students,"9,749",1,SY 2023-24,numerator,Numerator,9749
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,All ML Students (ELP 9),"3,688",1,SY 2023-24,numerator,Numerator,3688
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Econ Dis,"2,159",1,SY 2023-24,numerator,Numerator,2159
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,SWD,"1,862",1,SY 2023-24,numerator,Numerator,1862
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,504 Plan,103,1,SY 2023-24,numerator,Numerator,103
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Asian,"1,629",1,SY 2023-24,numerator,Numerator,1629
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Black,956,1,SY 2023-24,numerator,Numerator,956
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Hispanic,"2,324",1,SY 2023-24,numerator,Numerator,2324
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,Multiracial,736,1,SY 2023-24,numerator,Numerator,736
Percent of Students who Enter Kindergarten with Pre-K Experiences,Numerator,White,"4,069",1,SY 2023-24,numerator,Numerator,4069
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,All Students,"12,482",1,SY 2023-24,denominator,Denominator,12482
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,All ML Students (ELP 9),"5,828",1,SY 2023-24,denominator,Denominator,5828
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Econ Dis,"3,785",1,SY 2023-24,denominator,Denominator,3785
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,SWD,"2,049",1,SY 2023-24,denominator,Denominator,2049
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,504 Plan,118,1,SY 2023-24,denominator,Denominator,118
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Asian,"2,067",1,SY 2023-24,denominator,Denominator,2067
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Black,"1,176",1,SY 2023-24,denominator,Denominator,1176
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Hispanic,"3,864",1,SY 2023-24,denominator,Denominator,3864
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,Multiracial,835,1,SY 2023-24,denominator,Denominator,835
Percent of Students who Enter Kindergarten with Pre-K Experiences,Denominator,White,"4,492",1,SY 2023-24,denominator,Denominator,4492
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2024-25,All Students,82%,1,SY 2024-25,percent,SY 2024-25,82
Percent of Students who Enter Kindergarten with Pre-K Experiences,SY 2024-25,All ML Students (ELP 9),68%,1,SY 2024-25,percent,SY 2024-25,68
